"","code_com","popnum"
"975","021",905
"976","059",5048
"977","023",5598
"978","313",5189
"979","052",3483
"980","780",3291
"981","089",4064
"982","352",1441
"983","062",3866
"984","048",4325
"985","289",4381
"986","585",3466
"987","378",173
"988","274",5117
"989","218",584
"990","088",3838
"991","149",4657
"992","002",234
"993","055",2716
"994","144",3867
"995","230",2721
"996","225",3520
"997","108",710
"998","494",4293
"999","272",4993
"1000","022",2108
"1001","212",1763
"1002","309",465
"1003","155",3678
"1004","118",1602
"1005","099",730
"1006","514",1623
"1007","289",4371
"1008","071",4784
"1009","284",5621
"1010","181",5340
"1011","238",5350
"1012","422",1434
"1013","438",1286
"1014","513",2893
"1015","015",1461
"1016","085",2786
"1017","422",656
"1018","085",3484
"1019","097",627
"1020","162",1723
"1021","235",3563
"1022","053",3908
"1023","296",1274
"1024","261",2895
"1025","158",2795
"1026","018",378
"1027","032",2862
"1028","221",4584
"1029","059",3754
"1030","487",1625
"1031","659",726
"1032","340",4837
"1033","220",2979
"1034","206",5598
"1035","692",1049
"1036","547",4887
"1037","153",4837
"1038","287",2099
"1039","220",4159
"1040","478",2781
"1041","113",3808
"1042","057",1696
"1043","040",2202
"1044","158",5518
"1045","256",4384
"1046","093",2528
"1047","117",3868
"1048","343",1791
"1049","558",650
"1050","124",2453
"1051","027",2456
"1052","362",4578
"1053","149",4115
"1054","185",1111
"1055","019",1366
"1056","572",1920
"1057","040",5508
"1058","057",1739
"1059","355",4105
"1060","171",2795
"1061","217",5580
"1062","171",449
"1063","228",676
"1064","520",2003
"1065","147",449
"1066","191",2605
"1067","158",4312
"1068","011",3624
"1069","579",3108
"1070","014",5105
"1071","469",5534
"1072","039",4784
"1073","439",3699
"1074","026",1525
"1075","273",5169
"1076","160",562
"1077","273",1825
"1078","392",4538
"1079","039",3546
"1080","115",1873
"1081","013",4115
"1082","460",768
"1083","249",3287
"1084","357",5395
"1085","503",5405
"1086","340",904
"1087","379",1083
"1088","028",5436
"1089","270",1067
"1090","191",4043
"1091","152",4926
"1092","246",4510
"1093","032",4353
"1094","502",864
"1095","040",313
"1096","350",4348
"1097","200",5464
"1098","891",750
"1099","417",3917
"1100","024",5535
"1101","559",2066
"1102","065",3090
"1103","238",2176
"1104","242",284
"1105","171",1049
"1106","070",383
"1107","344",187
"1108","367",1096
"1109","422",4336
"1110","067",1228
"1111","013",304
"1112","048",953
"1113","098",3284
"1114","168",3513
"1115","213",4222
"1116","327",226
"1117","063",3706
"1118","458",4628
"1119","012",3860
"1120","008",627
"1121","091",3543
"1122","050",4353
"1123","258",3262
"1124","159",3781
"1125","215",599
"1126","201",2528
"1127","140",4956
"1128","186",4300
"1129","184",5004
"1130","020",2377
"1131","260",4285
"1132","161",2347
"1133","138",1825
"1134","242",4222
"1135","074",361
"1136","120",1528
"1137","377",567
"1138","214",3628
"1139","317",1738
"1140","188",5232
"1141","182",3382
"1142","126",3765
"1143","320",3258
"1144","556",187
"1145","455",2739
"1146","206",159
"1147","015",1627
"1148","507",5412
"1149","191",2495
"1150","130",332
"1151","113",2946
"1152","068",5294
"1153","082",26
"1154","562",4277
"1155","410",4553
"1156","222",1920
"1157","482",4728
"1158","259",4750
"1159","311",4665
"1160","547",2682
"1161","273",4587
"1162","199",5250
"1163","528",444
"1164","236",2176
"1165","143",900
"1166","053",785
"1167","087",440
"1168","474",2852
"1169","355",532
"1170","080",195
"1171","143",5372
"1172","485",2412
"1173","020",2714
"1174","012",3014
"1175","015",3917
"1176","346",5459
"1177","088",1801
"1178","167",2346
"1179","096",5621
"1180","187",4348
