"","cod_dept","area","pop"
"617","69","1140","5775"
"618","80","1332","867"
"619","27","715","350"
"620","44","3113","18662"
"621","10","1567","310"
"622","81","8579","4440"
"623","25","1251","1439"
"624","92","417","85523"
"625","39","412","149"
"626","64","716","199"
"627","77","1157","602"
"628","33","1245","468"
"629","17","1390","362"
"630","16","851","1550"
"631","33","747","760"
"632","62","258","2344"
"633","43","1813","123"
"634","95","763","2497"
"635","54","395","227"
"636","17","1440","314"
"637","26","1137","545"
"638","54","1039","440"
"639","03","1355","133"
"640","04","2391","109"
"641","33","769","10476"
"642","73","1299","2229"
"643","83","1893","319"
"644","67","897","657"
"645","65","520","101"
"646","39","930","966"
"647","2A","3693","120"
"648","76","1728","522"
"649","80","373","1299"
"650","03","2598","372"
"651","30","620","1562"
"652","61","1399","350"
"653","02","685","108"
"654","50","1185","2740"
"655","32","708","110"
"656","79","1899","1054"
"657","42","1252","999"
"658","79","920","877"
"659","02","931","177"
"660","24","1359","284"
"661","50","463","136"
"662","57","928","176"
"663","08","591","77"
"664","44","592","1147"
"665","21","862","284"
"666","05","3869","641"
"667","57","630","955"
"668","69","1243","3908"
"669","61","783","522"
"670","81","699","378"
"671","48","2871","104"
"672","11","1056","535"
"673","26","2535","2581"
"674","72","3508","960"
"675","78","724","15102"
"676","28","1098","473"
"677","89","1577","335"
"678","03","1298","329"
"679","76","799","767"
"680","50","1449","623"
"681","31","1256","2477"
"682","08","931","108"
"683","27","1027","948"
"684","53","2226","830"
"685","26","957","211"
"686","52","3807","442"
"687","02","363","73"
"688","02","293","51"
"689","29","6139","1800"
"690","52","1452","101"
"691","17","2717","1664"
"692","71","2861","745"
"693","84","4223","1910"
"694","68","1240","1724"
"695","67","1707","5471"
"696","47","4446","355"
"697","31","1005","180"
"698","60","706","1229"
"699","11","1765","78"
"700","28","1066","647"
"701","70","630","387"
"702","24","2250","448"
"703","43","1927","93"
"704","78","1412","499"
"705","01","1005","1226"
"706","09","107","56"
"707","11","1498","2190"
"708","38","932","2058"
"709","29","3225","3847"
"710","50","427","345"
"711","54","620","123"
"712","43","2773","207"
"713","57","953","1019"
"714","04","1437","623"
"715","65","658","218"
"716","2B","3075","124"
"717","17","1055","488"
"718","31","1892","214"
"719","18","10604","888"
"720","38","1415","26"
"721","73","1289","1628"
"722","51","796","176"
"723","59","644","1229"
"724","63","936","330"
"725","43","2723","2225"
"726","14","1033","372"
"727","70","614","103"
"728","39","1999","511"
"729","60","451","90"
"730","24","837","716"
"731","89","850","419"
"732","80","826","254"
"733","62","371","422"
"734","42","1900","1996"
"735","67","1069","9233"
"736","25","1274","399"
"737","56","1667","620"
"738","60","330","525"
"739","88","1429","207"
"740","07","945","409"
"741","86","2333","642"
"742","12","3748","653"
"743","32","1078","318"
"744","55","521","105"
"745","16","768","96"
"746","65","775","114"
"747","82","3768","826"
"748","76","376","552"
"749","31","1399","1191"
"750","87","2165","2067"
"751","59","435","7568"
"752","33","1363","350"
"753","41","1339","175"
"754","88","327","85"
"755","34","657","736"
"756","76","426","358"
"757","08","1528","170"
"758","2A","708","360"
"759","37","604","1733"
"760","46","1333","433"
"761","89","932","353"
"762","26","2077","54"
"763","18","2158","1071"
"764","63","596","415"
"765","08","873","266"
"766","57","194","52"
"767","61","413","42"
"768","80","610","148"
"769","66","1368","328"
"770","94","1002","3640"
"771","22","1910","1213"
"772","55","1078","523"
"773","02","634","362"
"774","72","364","138"
"775","09","3163","48"
"776","09","481","734"
"777","35","1622","590"
"778","50","648","716"
"779","03","536","430"
"780","38","974","1428"
"781","06","982","7815"
"782","67","148","198"
"783","14","978","226"
"784","80","439","129"
"785","36","2601","830"
"786","10","698","192"
"787","40","2790","1053"
"788","26","2804","2939"
"789","52","4312","187"
"790","05","1618","491"
"791","72","3241","884"
"792","51","919","557"
"793","02","1001","959"
"794","46","877","164"
"795","21","1188","133"
"796","10","379","82"
"797","38","2087","248"
"798","27","944","4188"
"799","60","809","263"
"800","64","5177","2565"
"801","81","1368","290"
"802","42","735","14658"
"803","27","730","306"
"804","64","447","474"
"805","76","461","665"
"806","37","1317","464"
"807","14","745","402"
"808","10","1604","107"
"809","54","1168","2831"
"810","67","442","284"
"811","61","349","172"
"812","69","570","189"
"813","62","321","288"
"814","43","3994","616"
"815","2A","1662","122"
"816","55","802","43"
"817","77","1660","1167"
"818","73","1522","908"
"819","81","2072","1311"
"820","90","472","419"
"821","56","5134","9525"
"822","40","564","380"
"823","31","389","108"
"824","64","802","145"
"825","37","3281","3874"
"826","37","7478","550"
"827","04","4416","730"
"828","17","831","475"
"829","58","1755","186"
"830","55","413","104"
"831","01","1474","298"
"832","31","403","65"
"833","70","843","111"
"834","17","1009","248"
"835","37","2376","1550"
"836","43","1195","1241"
"837","90","652","543"
"838","27","1023","1090"
"839","11","1554","165"
"840","18","4770","321"
"841","07","3815","424"
"842","56","2456","1859"
"843","61","595","163"
"844","65","210","39"
"845","71","4804","690"
"846","80","509","199"
"847","53","1805","1616"
"848","39","562","676"
"849","2B","2410","77"
"850","85","7200","8298"
"851","27","758","143"
"852","60","419","893"
"853","08","499","41"
"854","08","3610","472"
"855","58","3556","691"
"856","83","8235","13835"
"857","61","1014","2169"
"858","59","688","2521"
"859","25","456","252"
"860","91","683","9198"
"861","82","2145","3719"
"862","28","923","591"
"863","31","1025","444"
"864","46","1861","227"
"865","18","1456","287"
"866","63","1808","530"
"867","12","3064","282"
